orderid,orderdate,customer,product,units,billingaddress,remarks
2422,2/17/2019,391,705,57,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2423,10/13/2018,935,98,44,Chennai,Strongly Recommend to Everyone to Buy this Product
2424,1/27/2019,742,470,38,New Delhi,Dont ever dream of buying this item
2425,1/23/2019,237,935,77,Trivandrum,Dont ever dream of buying this item
2426,7/19/2019,76,176,30,Chennai,Pathetic Items Received
2427,7/2/2019,359,703,92,Mysore,Appreciated
2428,7/17/2019,886,682,67,New Delhi,Pathetic Items Received
2429,7/1/2019,977,312,24,Kolkata,Appreciated
2430,8/18/2019,529,898,78,Mysore,Awful Items
2431,4/14/2019,670,568,35,Chennai,Awful Items
2432,4/17/2019,214,636,25,Kolkata,Awful Items
2433,8/19/2019,197,824,13,Bangalore,Pathetic Items Received
2434,11/28/2018,907,514,32,Trivandrum,Wonderful Product
2435,6/15/2019,695,110,82,Mumbai,Strongly Recommend to Everyone to Buy this Product
2436,6/15/2019,4,11,10,Trivandrum,Wonderful Product
2437,9/11/2018,818,766,93,Mumbai,Dont ever dream of buying this item
2438,4/29/2019,18,884,59,Kolkata,Appreciated
2439,12/21/2018,413,336,82,Trivandrum,Wonderful Product
2440,6/16/2019,240,227,32,New Delhi,Wonderful Product
2441,8/15/2019,151,996,89,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2442,8/20/2019,145,801,12,Kolkata,Wonderful Product
2443,8/26/2019,447,917,17,Kolkata,Dont ever dream of buying this item
2444,12/24/2018,164,742,59,Mysore,Appreciated
2445,11/7/2018,24,188,88,Mumbai,Appreciated
2446,12/23/2018,662,579,69,Chennai,Wonderful Product
2447,5/15/2019,877,611,96,Kolkata,Dont ever dream of buying this item
2448,7/6/2019,264,780,56,Hyderabad,Awful Items
2449,8/23/2019,404,106,98,Trivandrum,Pathetic Items Received
2450,3/30/2019,692,98,35,Trivandrum,Wonderful Product
2451,9/28/2018,419,666,43,Mysore,Awful Items
2452,3/16/2019,67,317,39,New Delhi,Strongly Recommend to Everyone to Buy this Product
2453,7/3/2019,485,820,56,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2454,3/13/2019,980,467,19,Chennai,Awful Items
2455,8/25/2019,448,565,100,Kolkata,Dont ever dream of buying this item
2456,5/17/2019,46,700,42,Chennai,Awful Items
2457,3/3/2019,765,629,43,Mumbai,Strongly Recommend to Everyone to Buy this Product
2458,12/18/2018,2,107,52,Hyderabad,Wonderful Product
2459,12/20/2018,824,983,80,Hyderabad,Appreciated
2460,7/6/2019,326,15,16,Bangalore,Appreciated
2461,8/17/2019,739,799,74,Kolkata,Pathetic Items Received
2462,7/20/2019,534,420,15,Hyderabad,Pathetic Items Received
2463,4/12/2019,470,477,66,Bangalore,Strongly Recommend to Everyone to Buy this Product
2464,9/2/2019,151,362,31,New Delhi,Strongly Recommend to Everyone to Buy this Product
2465,9/27/2018,537,207,90,Chennai,Dont ever dream of buying this item
2466,10/28/2018,183,395,47,Chennai,Strongly Recommend to Everyone to Buy this Product
2467,6/7/2019,484,550,14,New Delhi,Dont ever dream of buying this item
2468,4/15/2019,723,413,82,Hyderabad,Appreciated
2469,3/4/2019,430,79,90,Mumbai,Pathetic Items Received
2470,6/8/2019,807,58,89,Hyderabad,Appreciated
2471,10/19/2018,43,793,31,Mysore,Wonderful Product
2472,1/18/2019,902,701,53,Trivandrum,Dont ever dream of buying this item
2473,11/14/2018,807,1,35,Trivandrum,Appreciated
2474,11/29/2018,125,631,59,Kolkata,Wonderful Product
2475,3/22/2019,366,1,96,Trivandrum,Wonderful Product
2476,9/26/2018,397,348,97,Bangalore,Pathetic Items Received
2477,7/11/2019,587,757,57,Trivandrum,Pathetic Items Received
2478,5/31/2019,1000,618,66,Kolkata,Appreciated
2479,6/19/2019,791,179,17,Kolkata,Strongly Recommend to Everyone to Buy this Product
2480,5/13/2019,823,491,25,Mumbai,Pathetic Items Received
2481,12/13/2018,784,453,91,Trivandrum,Pathetic Items Received
2482,12/26/2018,265,427,41,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2483,7/28/2019,967,410,83,Chennai,Appreciated
2484,6/18/2019,482,463,16,Trivandrum,Appreciated
2485,4/16/2019,822,585,18,Mumbai,Appreciated
2486,12/25/2018,937,730,62,Trivandrum,Wonderful Product
2487,8/9/2019,968,248,12,Mysore,Appreciated
2488,5/29/2019,321,727,92,Mumbai,Strongly Recommend to Everyone to Buy this Product
2489,11/28/2018,415,345,68,Chennai,Dont ever dream of buying this item
2490,1/16/2019,758,690,84,Trivandrum,Dont ever dream of buying this item
2491,1/27/2019,990,386,17,New Delhi,Wonderful Product
2492,1/8/2019,310,642,16,Mysore,Awful Items
2493,1/22/2019,417,895,97,Mysore,Awful Items
2494,2/3/2019,604,231,83,Chennai,Wonderful Product
2495,7/30/2019,15,598,58,Kolkata,Pathetic Items Received
2496,3/6/2019,435,859,74,Kolkata,Dont ever dream of buying this item
2497,2/2/2019,318,934,96,Trivandrum,Dont ever dream of buying this item
2498,8/2/2019,964,41,31,Hyderabad,Awful Items
2499,8/23/2019,951,986,84,Mumbai,Pathetic Items Received
2500,9/22/2018,270,990,40,Mysore,Awful Items
2501,6/23/2019,757,443,77,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2502,8/18/2019,49,194,30,Bangalore,Wonderful Product
2503,4/19/2019,198,309,44,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2504,11/6/2018,694,107,69,Chennai,Dont ever dream of buying this item
2505,9/24/2018,138,678,67,Trivandrum,Awful Items
2506,6/3/2019,470,815,26,Bangalore,Awful Items
2507,11/21/2018,541,963,36,Bangalore,Wonderful Product
2508,3/1/2019,721,242,56,New Delhi,Strongly Recommend to Everyone to Buy this Product
2509,11/25/2018,814,834,26,Chennai,Dont ever dream of buying this item
2510,1/30/2019,330,964,13,Mysore,Dont ever dream of buying this item
2511,7/7/2019,317,401,51,Chennai,Pathetic Items Received
2512,10/31/2018,8,403,86,Chennai,Awful Items
2513,11/14/2018,535,485,60,Mysore,Dont ever dream of buying this item
2514,12/18/2018,462,757,43,Hyderabad,Dont ever dream of buying this item
2515,5/13/2019,536,421,69,Hyderabad,Awful Items
2516,10/21/2018,151,777,35,Hyderabad,Appreciated
2517,8/5/2019,244,922,17,Kolkata,Awful Items
2518,10/11/2018,944,611,95,Hyderabad,Dont ever dream of buying this item
2519,3/22/2019,379,429,61,New Delhi,Dont ever dream of buying this item
2520,7/14/2019,904,74,51,New Delhi,Dont ever dream of buying this item
2521,9/1/2019,264,30,34,Mysore,Pathetic Items Received
2522,1/14/2019,916,955,34,Chennai,Appreciated
2523,2/20/2019,358,477,38,Mysore,Strongly Recommend to Everyone to Buy this Product
2524,1/2/2019,596,382,80,Chennai,Wonderful Product
2525,11/19/2018,207,342,88,Trivandrum,Appreciated
2526,8/23/2019,352,490,86,Mysore,Pathetic Items Received
2527,5/4/2019,369,224,40,Chennai,Awful Items
2528,9/3/2019,821,397,10,Hyderabad,Wonderful Product
2529,10/12/2018,448,537,66,Mysore,Strongly Recommend to Everyone to Buy this Product
2530,1/11/2019,317,224,33,Kolkata,Dont ever dream of buying this item
2531,11/23/2018,639,394,25,New Delhi,Pathetic Items Received
2532,7/6/2019,273,986,23,Chennai,Strongly Recommend to Everyone to Buy this Product
2533,9/11/2018,640,833,56,Kolkata,Awful Items
2534,5/17/2019,317,989,62,Mumbai,Dont ever dream of buying this item
2535,8/6/2019,696,421,80,Chennai,Strongly Recommend to Everyone to Buy this Product
2536,12/6/2018,116,37,10,New Delhi,Appreciated
2537,5/22/2019,310,477,88,New Delhi,Pathetic Items Received
2538,6/10/2019,737,146,23,Mysore,Pathetic Items Received
2539,9/14/2018,301,568,66,Kolkata,Dont ever dream of buying this item
2540,9/24/2018,184,682,19,Bangalore,Strongly Recommend to Everyone to Buy this Product
2541,1/22/2019,426,598,81,Chennai,Pathetic Items Received
2542,6/11/2019,116,666,67,Mumbai,Appreciated
2543,5/1/2019,508,759,62,Hyderabad,Pathetic Items Received
2544,1/9/2019,87,657,61,Mumbai,Pathetic Items Received
2545,5/28/2019,591,536,81,Kolkata,Dont ever dream of buying this item
2546,7/30/2019,258,608,79,Mumbai,Dont ever dream of buying this item
2547,6/15/2019,834,942,42,Chennai,Awful Items
2548,6/24/2019,374,128,86,Kolkata,Dont ever dream of buying this item
2549,4/10/2019,607,658,90,Bangalore,Wonderful Product
2550,1/26/2019,577,273,83,Mysore,Dont ever dream of buying this item
2551,11/21/2018,651,617,26,Chennai,Pathetic Items Received
2552,12/28/2018,438,96,16,Mysore,Dont ever dream of buying this item
2553,9/11/2018,103,642,87,Mumbai,Strongly Recommend to Everyone to Buy this Product
2554,11/4/2018,583,514,74,Chennai,Awful Items
2555,8/28/2019,263,643,12,Trivandrum,Wonderful Product
2556,3/23/2019,749,790,25,Trivandrum,Pathetic Items Received
2557,6/20/2019,682,170,52,Hyderabad,Appreciated
2558,10/27/2018,169,250,21,Kolkata,Strongly Recommend to Everyone to Buy this Product
2559,12/16/2018,696,413,11,Chennai,Dont ever dream of buying this item
2560,9/13/2018,269,737,73,Mysore,Dont ever dream of buying this item
2561,11/27/2018,204,168,78,Kolkata,Strongly Recommend to Everyone to Buy this Product
2562,10/28/2018,666,420,82,Bangalore,Pathetic Items Received
2563,8/12/2019,334,798,69,Mumbai,Wonderful Product
2564,9/13/2018,282,429,76,Trivandrum,Awful Items
2565,3/4/2019,192,356,92,Mumbai,Strongly Recommend to Everyone to Buy this Product
2566,5/16/2019,703,808,56,Chennai,Wonderful Product
2567,4/30/2019,625,821,59,Mumbai,Appreciated
2568,2/4/2019,510,344,56,Mysore,Awful Items
2569,11/16/2018,989,568,50,Mysore,Wonderful Product
2570,2/22/2019,58,752,81,New Delhi,Dont ever dream of buying this item
2571,1/5/2019,552,617,11,Chennai,Strongly Recommend to Everyone to Buy this Product
2572,6/20/2019,443,951,18,Mysore,Strongly Recommend to Everyone to Buy this Product
2573,7/2/2019,55,923,26,Hyderabad,Wonderful Product
2574,7/6/2019,817,480,79,Trivandrum,Dont ever dream of buying this item
2575,6/29/2019,504,868,34,Kolkata,Strongly Recommend to Everyone to Buy this Product
2576,3/15/2019,919,136,19,Chennai,Pathetic Items Received
2577,3/11/2019,113,671,44,Chennai,Awful Items
2578,10/1/2018,548,310,66,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2579,6/6/2019,945,100,29,Hyderabad,Wonderful Product
2580,8/8/2019,588,899,50,Trivandrum,Dont ever dream of buying this item
2581,1/30/2019,49,211,99,Kolkata,Appreciated
2582,7/30/2019,623,118,15,Trivandrum,Dont ever dream of buying this item
2583,3/27/2019,494,267,38,Hyderabad,Awful Items
2584,5/18/2019,978,875,53,Hyderabad,Wonderful Product
2585,1/1/2019,572,595,18,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2586,1/12/2019,354,495,88,Hyderabad,Appreciated
2587,3/29/2019,442,102,17,Trivandrum,Awful Items
2588,12/25/2018,822,889,100,Kolkata,Dont ever dream of buying this item
2589,1/12/2019,717,8,36,New Delhi,Strongly Recommend to Everyone to Buy this Product
2590,4/10/2019,60,437,71,Bangalore,Pathetic Items Received
2591,3/6/2019,631,651,35,Chennai,Awful Items
2592,4/24/2019,45,243,56,Hyderabad,Wonderful Product
2593,5/6/2019,795,384,44,New Delhi,Appreciated
2594,5/4/2019,506,337,74,Chennai,Appreciated
2595,9/4/2019,364,940,39,Bangalore,Awful Items
2596,6/24/2019,472,17,93,Chennai,Pathetic Items Received
2597,11/9/2018,137,543,92,Hyderabad,Wonderful Product
2598,11/16/2018,926,980,89,Hyderabad,Pathetic Items Received
2599,2/6/2019,977,39,63,Mysore,Awful Items
2600,4/11/2019,83,636,94,Kolkata,Wonderful Product
2601,2/15/2019,432,604,74,Mysore,Dont ever dream of buying this item
2602,5/18/2019,29,983,57,Mumbai,Awful Items
2603,10/14/2018,152,590,84,Kolkata,Dont ever dream of buying this item
2604,11/11/2018,769,75,41,Trivandrum,Dont ever dream of buying this item
2605,9/18/2018,954,580,34,Mysore,Pathetic Items Received
2606,10/4/2018,384,260,86,Mysore,Dont ever dream of buying this item
2607,7/2/2019,353,930,88,Mysore,Dont ever dream of buying this item
2608,11/30/2018,599,157,67,Mysore,Awful Items
2609,3/6/2019,344,769,32,Bangalore,Awful Items
2610,4/24/2019,412,78,85,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2611,9/15/2018,115,633,76,Bangalore,Dont ever dream of buying this item
2612,2/13/2019,265,201,46,Trivandrum,Pathetic Items Received
2613,4/27/2019,926,375,84,Mumbai,Appreciated
2614,8/30/2019,714,156,35,Hyderabad,Wonderful Product
2615,8/5/2019,907,117,94,Mysore,Dont ever dream of buying this item
2616,9/8/2019,241,742,79,Kolkata,Appreciated
2617,1/11/2019,319,845,58,New Delhi,Awful Items
2618,2/14/2019,777,511,43,Kolkata,Wonderful Product
2619,6/19/2019,621,623,69,Hyderabad,Wonderful Product
2620,3/3/2019,695,139,67,Bangalore,Dont ever dream of buying this item
2621,9/5/2019,684,52,41,Mysore,Awful Items
2622,5/20/2019,767,906,85,New Delhi,Appreciated
2623,3/21/2019,438,37,23,Chennai,Dont ever dream of buying this item
2624,1/21/2019,742,835,27,Hyderabad,Wonderful Product
2625,6/16/2019,287,326,96,Mysore,Wonderful Product
2626,5/4/2019,483,185,73,Bangalore,Pathetic Items Received
2627,12/1/2018,212,111,51,Kolkata,Appreciated
2628,4/14/2019,181,942,22,Chennai,Wonderful Product
2629,6/1/2019,369,795,53,Kolkata,Strongly Recommend to Everyone to Buy this Product
2630,7/9/2019,897,802,22,New Delhi,Strongly Recommend to Everyone to Buy this Product
2631,12/25/2018,841,681,66,Mysore,Appreciated
2632,8/30/2019,681,298,94,Hyderabad,Pathetic Items Received
2633,12/27/2018,172,35,35,Trivandrum,Dont ever dream of buying this item
2634,4/27/2019,921,476,15,Mysore,Strongly Recommend to Everyone to Buy this Product
2635,7/3/2019,307,992,59,Bangalore,Strongly Recommend to Everyone to Buy this Product
2636,10/13/2018,813,291,65,Chennai,Strongly Recommend to Everyone to Buy this Product
2637,3/16/2019,938,1000,24,Kolkata,Dont ever dream of buying this item
2638,2/14/2019,378,800,65,Mumbai,Appreciated
2639,4/23/2019,47,611,21,New Delhi,Appreciated
2640,9/26/2018,119,222,92,Mysore,Strongly Recommend to Everyone to Buy this Product
2641,11/22/2018,511,244,24,Trivandrum,Awful Items
2642,3/30/2019,47,538,41,New Delhi,Strongly Recommend to Everyone to Buy this Product
2643,7/2/2019,392,163,17,Kolkata,Dont ever dream of buying this item
2644,9/17/2018,740,441,32,Bangalore,Pathetic Items Received
2645,11/11/2018,747,589,26,Mumbai,Wonderful Product
2646,9/15/2018,975,341,59,Mumbai,Pathetic Items Received
2647,5/1/2019,125,722,12,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2648,12/8/2018,710,591,10,Kolkata,Pathetic Items Received
2649,2/17/2019,192,126,16,New Delhi,Pathetic Items Received
2650,3/25/2019,498,158,95,Bangalore,Pathetic Items Received
2651,6/19/2019,108,488,91,Mumbai,Wonderful Product
2652,6/29/2019,269,385,36,Mysore,Appreciated
2653,8/5/2019,578,236,63,Kolkata,Dont ever dream of buying this item
2654,10/19/2018,219,815,90,Kolkata,Appreciated
2655,6/6/2019,65,575,68,New Delhi,Awful Items
2656,8/8/2019,902,926,11,Mumbai,Appreciated
2657,8/25/2019,309,394,99,Mumbai,Wonderful Product
2658,1/26/2019,805,988,15,Kolkata,Strongly Recommend to Everyone to Buy this Product
2659,11/29/2018,397,241,28,Bangalore,Awful Items
2660,11/11/2018,116,541,46,Bangalore,Dont ever dream of buying this item
2661,7/9/2019,52,392,24,Hyderabad,Dont ever dream of buying this item
2662,9/15/2018,874,658,13,Bangalore,Wonderful Product
2663,8/14/2019,487,893,10,Kolkata,Appreciated
2664,6/4/2019,192,419,21,Mumbai,Awful Items
2665,12/4/2018,887,875,48,Bangalore,Strongly Recommend to Everyone to Buy this Product
2666,8/11/2019,185,341,25,New Delhi,Awful Items
2667,10/9/2018,495,200,53,Mumbai,Dont ever dream of buying this item
2668,7/23/2019,975,270,61,New Delhi,Strongly Recommend to Everyone to Buy this Product
2669,7/30/2019,357,115,36,Kolkata,Wonderful Product
2670,5/26/2019,941,363,36,Kolkata,Pathetic Items Received
2671,11/23/2018,507,109,57,New Delhi,Appreciated
2672,1/28/2019,668,707,79,Mumbai,Wonderful Product
2673,12/10/2018,557,753,86,Kolkata,Awful Items
2674,1/29/2019,496,490,57,Trivandrum,Pathetic Items Received
2675,11/14/2018,109,179,69,Chennai,Appreciated
2676,6/6/2019,752,430,79,New Delhi,Appreciated
2677,2/19/2019,501,823,62,Kolkata,Pathetic Items Received
2678,2/9/2019,209,226,71,Bangalore,Strongly Recommend to Everyone to Buy this Product
2679,2/2/2019,921,156,24,Trivandrum,Wonderful Product
2680,11/15/2018,428,870,23,Bangalore,Appreciated
2681,7/20/2019,15,624,100,New Delhi,Dont ever dream of buying this item
2682,1/12/2019,518,17,10,New Delhi,Pathetic Items Received
2683,8/14/2019,416,913,89,Chennai,Wonderful Product
2684,11/23/2018,591,960,58,Kolkata,Strongly Recommend to Everyone to Buy this Product
2685,1/31/2019,288,100,51,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2686,3/13/2019,944,428,22,Kolkata,Dont ever dream of buying this item
2687,10/5/2018,643,461,62,Mumbai,Wonderful Product
2688,3/21/2019,928,981,23,Chennai,Pathetic Items Received
2689,11/4/2018,629,239,81,Kolkata,Appreciated
2690,4/7/2019,73,684,35,Kolkata,Awful Items
2691,5/15/2019,857,203,29,Hyderabad,Appreciated
2692,9/4/2019,703,282,38,Kolkata,Appreciated
2693,1/6/2019,989,144,62,Bangalore,Awful Items
2694,1/12/2019,819,450,59,Hyderabad,Wonderful Product
2695,9/22/2018,427,843,24,Mumbai,Strongly Recommend to Everyone to Buy this Product
2696,5/2/2019,317,867,54,Hyderabad,Pathetic Items Received
2697,5/15/2019,593,688,95,Kolkata,Dont ever dream of buying this item
2698,1/16/2019,428,349,27,Mysore,Strongly Recommend to Everyone to Buy this Product
2699,9/2/2019,583,599,40,Kolkata,Appreciated
2700,4/26/2019,978,848,61,Trivandrum,Awful Items
2701,4/8/2019,698,403,26,Mumbai,Appreciated
2702,4/28/2019,989,744,92,Kolkata,Pathetic Items Received
2703,6/4/2019,512,210,22,Hyderabad,Appreciated
2704,9/21/2018,708,141,67,Mysore,Pathetic Items Received
2705,3/8/2019,692,950,93,Mumbai,Awful Items
2706,4/3/2019,6,762,56,Mumbai,Awful Items
2707,8/14/2019,503,523,48,Mumbai,Appreciated
2708,1/25/2019,9,778,35,Hyderabad,Wonderful Product
2709,5/3/2019,638,201,21,New Delhi,Pathetic Items Received
2710,12/9/2018,648,360,17,Bangalore,Wonderful Product
2711,1/15/2019,981,177,15,Trivandrum,Wonderful Product
2712,10/16/2018,548,421,26,New Delhi,Awful Items
2713,1/4/2019,817,479,55,Chennai,Pathetic Items Received
2714,8/23/2019,163,983,16,Kolkata,Awful Items
2715,9/26/2018,501,477,13,New Delhi,Wonderful Product
2716,4/4/2019,510,67,66,Trivandrum,Pathetic Items Received
2717,8/29/2019,258,21,41,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2718,8/18/2019,269,964,55,Kolkata,Awful Items
2719,11/16/2018,306,835,33,New Delhi,Wonderful Product
2720,5/10/2019,751,336,99,Bangalore,Wonderful Product
2721,9/18/2018,559,950,50,Mysore,Dont ever dream of buying this item
2722,7/17/2019,388,666,32,Hyderabad,Pathetic Items Received
2723,8/7/2019,9,833,36,Bangalore,Awful Items
2724,10/15/2018,332,227,73,Bangalore,Awful Items
2725,1/9/2019,241,240,23,Mysore,Awful Items
2726,12/28/2018,562,20,85,Hyderabad,Wonderful Product
2727,12/5/2018,656,117,93,Hyderabad,Wonderful Product
2728,4/23/2019,157,672,19,Chennai,Dont ever dream of buying this item
2729,5/28/2019,131,495,81,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2730,5/8/2019,36,410,10,Mumbai,Awful Items
2731,12/26/2018,187,401,76,Trivandrum,Appreciated
2732,11/15/2018,386,276,50,Bangalore,Strongly Recommend to Everyone to Buy this Product
2733,8/21/2019,22,139,98,Trivandrum,Dont ever dream of buying this item
2734,4/1/2019,347,340,18,Hyderabad,Dont ever dream of buying this item
2735,7/21/2019,373,8,57,Kolkata,Awful Items
2736,11/4/2018,479,88,50,Trivandrum,Pathetic Items Received
2737,4/5/2019,612,290,34,Chennai,Dont ever dream of buying this item
2738,5/18/2019,551,762,11,Chennai,Strongly Recommend to Everyone to Buy this Product
2739,11/26/2018,116,53,69,Bangalore,Dont ever dream of buying this item
2740,9/13/2018,953,55,92,Hyderabad,Appreciated
2741,2/28/2019,724,480,72,New Delhi,Awful Items
2742,3/6/2019,286,351,63,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2743,4/10/2019,527,355,39,Bangalore,Appreciated
2744,10/5/2018,598,598,34,New Delhi,Pathetic Items Received
2745,8/25/2019,903,875,97,Hyderabad,Dont ever dream of buying this item
2746,5/18/2019,907,138,59,New Delhi,Wonderful Product
2747,2/20/2019,245,827,88,Mumbai,Strongly Recommend to Everyone to Buy this Product
2748,9/10/2018,985,312,85,Bangalore,Strongly Recommend to Everyone to Buy this Product
2749,6/1/2019,818,140,29,Mumbai,Awful Items
2750,6/21/2019,440,417,42,Mumbai,Awful Items
2751,5/5/2019,617,588,59,Mumbai,Awful Items
2752,5/2/2019,999,873,93,New Delhi,Wonderful Product
2753,8/8/2019,515,56,48,Trivandrum,Appreciated
2754,10/1/2018,947,962,86,Hyderabad,Wonderful Product
2755,6/19/2019,787,866,50,Mumbai,Awful Items
2756,3/28/2019,861,318,100,Bangalore,Wonderful Product
2757,12/29/2018,135,289,22,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2758,8/10/2019,798,401,53,New Delhi,Appreciated
2759,7/27/2019,398,739,92,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2760,5/11/2019,452,108,61,Mysore,Wonderful Product
2761,3/17/2019,333,76,41,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2762,5/20/2019,99,485,42,Mysore,Awful Items
2763,11/24/2018,227,759,32,Kolkata,Appreciated
2764,5/3/2019,293,336,54,Bangalore,Wonderful Product
2765,4/26/2019,825,502,65,Bangalore,Pathetic Items Received
2766,7/19/2019,828,460,99,New Delhi,Wonderful Product
2767,6/5/2019,227,186,100,Mumbai,Awful Items
2768,6/13/2019,368,102,34,Trivandrum,Awful Items
2769,1/30/2019,90,310,31,Chennai,Dont ever dream of buying this item
2770,5/12/2019,896,109,28,Chennai,Dont ever dream of buying this item
2771,2/27/2019,454,103,29,Chennai,Dont ever dream of buying this item
2772,2/13/2019,903,791,14,Bangalore,Dont ever dream of buying this item
2773,6/8/2019,268,366,25,Trivandrum,Awful Items
2774,10/16/2018,478,625,99,Chennai,Dont ever dream of buying this item
2775,11/29/2018,458,264,36,Mysore,Pathetic Items Received
2776,1/23/2019,76,188,59,Mumbai,Dont ever dream of buying this item
2777,7/10/2019,9,777,40,Bangalore,Awful Items
2778,9/28/2018,126,364,40,Mysore,Awful Items
2779,12/14/2018,146,750,90,Chennai,Appreciated
2780,9/12/2018,158,114,55,Hyderabad,Dont ever dream of buying this item
2781,10/14/2018,677,883,73,Trivandrum,Appreciated
2782,9/16/2018,592,389,48,Chennai,Strongly Recommend to Everyone to Buy this Product
2783,4/6/2019,171,479,73,Hyderabad,Wonderful Product
2784,8/11/2019,927,517,80,Mumbai,Pathetic Items Received
2785,8/20/2019,856,239,67,Mumbai,Pathetic Items Received
2786,6/15/2019,105,152,14,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2787,10/4/2018,173,550,41,Chennai,Wonderful Product
2788,10/2/2018,318,71,94,Mumbai,Appreciated
2789,11/7/2018,943,904,55,Mysore,Wonderful Product
2790,6/19/2019,445,692,83,Mumbai,Wonderful Product
2791,12/26/2018,185,294,81,Mysore,Wonderful Product
2792,7/6/2019,296,649,96,New Delhi,Appreciated
2793,6/27/2019,523,876,70,Hyderabad,Pathetic Items Received
2794,8/3/2019,920,857,60,Mysore,Appreciated
2795,10/5/2018,354,51,47,Mumbai,Strongly Recommend to Everyone to Buy this Product
2796,2/15/2019,778,984,40,Mysore,Pathetic Items Received
2797,11/21/2018,499,458,47,Chennai,Wonderful Product
2798,3/20/2019,456,370,90,Mysore,Wonderful Product
2799,4/10/2019,381,668,77,Chennai,Appreciated
2800,12/10/2018,404,206,98,Mumbai,Wonderful Product
2801,6/27/2019,982,509,30,Kolkata,Wonderful Product
2802,8/18/2019,809,275,17,New Delhi,Pathetic Items Received
2803,3/19/2019,729,87,17,Bangalore,Dont ever dream of buying this item
2804,12/24/2018,356,973,31,Mumbai,Awful Items
2805,9/23/2018,358,61,53,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2806,9/7/2019,799,533,37,New Delhi,Appreciated
2807,11/8/2018,905,896,13,New Delhi,Awful Items
2808,7/7/2019,392,510,74,Hyderabad,Appreciated
2809,12/30/2018,54,742,70,Kolkata,Appreciated
2810,4/18/2019,576,613,74,Mysore,Appreciated
2811,9/6/2019,681,759,32,Mysore,Awful Items
2812,1/8/2019,275,780,53,Bangalore,Awful Items
2813,6/17/2019,748,274,66,Kolkata,Dont ever dream of buying this item
2814,9/11/2018,366,270,81,Chennai,Wonderful Product
2815,5/1/2019,292,81,53,Mysore,Strongly Recommend to Everyone to Buy this Product
2816,6/3/2019,432,107,29,Mumbai,Dont ever dream of buying this item
2817,7/18/2019,356,232,49,Hyderabad,Appreciated
2818,11/16/2018,832,136,48,Mumbai,Strongly Recommend to Everyone to Buy this Product
2819,6/24/2019,714,722,54,Mumbai,Appreciated
2820,11/28/2018,540,173,41,New Delhi,Strongly Recommend to Everyone to Buy this Product
2821,9/15/2018,169,593,70,Chennai,Wonderful Product
2822,10/30/2018,355,702,34,Mysore,Awful Items
2823,8/4/2019,772,118,61,Bangalore,Strongly Recommend to Everyone to Buy this Product
2824,6/20/2019,956,993,13,Trivandrum,Awful Items
2825,10/25/2018,132,151,72,Chennai,Awful Items
2826,6/17/2019,213,939,10,Chennai,Appreciated
2827,9/7/2019,282,38,17,Kolkata,Pathetic Items Received
2828,1/14/2019,175,771,65,Kolkata,Pathetic Items Received
2829,3/1/2019,359,150,80,Trivandrum,Pathetic Items Received
2830,4/9/2019,256,577,78,Mysore,Awful Items
2831,10/14/2018,437,801,28,Hyderabad,Wonderful Product
2832,5/30/2019,386,865,10,Bangalore,Wonderful Product
2833,5/6/2019,315,185,76,Kolkata,Strongly Recommend to Everyone to Buy this Product
2834,6/2/2019,78,584,74,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2835,12/10/2018,380,320,36,New Delhi,Appreciated
2836,3/17/2019,585,729,61,Trivandrum,Wonderful Product
2837,12/6/2018,542,488,56,Hyderabad,Awful Items
2838,1/1/2019,389,597,37,Mumbai,Appreciated
2839,7/27/2019,10,314,61,New Delhi,Wonderful Product
2840,7/14/2019,964,19,38,Kolkata,Strongly Recommend to Everyone to Buy this Product
2841,10/25/2018,182,424,59,New Delhi,Strongly Recommend to Everyone to Buy this Product
2842,4/11/2019,293,851,98,Trivandrum,Dont ever dream of buying this item
2843,11/24/2018,728,760,70,New Delhi,Appreciated
2844,4/24/2019,203,194,81,Mumbai,Appreciated
2845,12/15/2018,743,662,90,Bangalore,Dont ever dream of buying this item
2846,12/20/2018,153,301,16,Mysore,Pathetic Items Received
2847,7/4/2019,767,494,37,New Delhi,Dont ever dream of buying this item
2848,12/17/2018,740,619,32,Bangalore,Dont ever dream of buying this item
